timestamp,equipment_id,expected_energy
2019-08-18 00:00:00,CHILLER-01,115.047888995871
2019-08-18 00:30:00,CHILLER-01,114.75105502077174
2019-08-18 01:00:00,CHILLER-01,115.43599281334984
2019-08-18 01:30:00,CHILLER-01,115.74944044540813
2019-08-18 02:00:00,CHILLER-01,115.74944044540813
2019-08-18 02:30:00,CHILLER-01,115.35291301439264
2019-08-18 03:00:00,CHILLER-01,116.6723884298071
2019-08-18 03:30:00,CHILLER-01,118.06677387374152
2019-08-18 04:00:00,CHILLER-01,118.23998106906711
2019-08-18 04:30:00,CHILLER-01,118.86228668739233
2019-08-18 05:00:00,CHILLER-01,119.01635519812999
2019-08-18 05:30:00,CHILLER-01,115.76137485303244
2019-08-18 06:00:00,CHILLER-01,115.9934743275069
2019-08-18 06:30:00,CHILLER-01,115.77280748421899
2019-08-18 07:00:00,CHILLER-01,117.31708123444007
2019-08-18 07:30:00,CHILLER-01,126.02533674305982
2019-08-18 08:00:00,CHILLER-01,128.39958670183543
2019-08-18 08:30:00,CHILLER-01,125.76627228403161
2019-08-18 09:00:00,CHILLER-01,126.78855991242678
2019-08-18 09:30:00,CHILLER-01,129.54926511289258
2019-08-18 10:00:00,CHILLER-01,130.47718435300828
2019-08-18 10:30:00,CHILLER-01,139.32699108192907
2019-08-18 11:00:00,CHILLER-01,142.7606176457381
2019-08-18 11:30:00,CHILLER-01,140.88528535971213
2019-08-18 12:00:00,CHILLER-01,137.49878416397087
2019-08-18 12:30:00,CHILLER-01,131.8476856083492
2019-08-18 13:00:00,CHILLER-01,131.69605980839222
2019-08-18 13:30:00,CHILLER-01,132.95231398238346
2019-08-18 14:00:00,CHILLER-01,131.70678434796793
2019-08-18 14:30:00,CHILLER-01,135.16302206754398
2019-08-18 15:00:00,CHILLER-01,135.23748229612377
2019-08-18 15:30:00,CHILLER-01,125.31822001978055
2019-08-18 16:00:00,CHILLER-01,119.12903945368315
2019-08-18 16:30:00,CHILLER-01,115.19285450253119
2019-08-18 17:00:00,CHILLER-01,123.89586171341966
2019-08-18 17:30:00,CHILLER-01,115.72068222409372
2019-08-18 18:00:00,CHILLER-01,113.74317240220735
2019-08-18 18:30:00,CHILLER-01,113.94467558322101
2019-08-18 19:00:00,CHILLER-01,115.26403265095104
2019-08-18 19:30:00,CHILLER-01,114.03583873319721
2019-08-18 20:00:00,CHILLER-01,114.07156869174189
